timestamp,longitude,latitude,speed,course
2023-01-01 00:00:00,128.500011,29.999987,10.1,38.2
2023-01-01 00:00:01,128.500136,30.000113,10.0,38.2
2023-01-01 00:00:02,128.500286,30.000203,10.2,38.2
2023-01-01 00:00:03,128.500424,30.000309,10.5,38.2
2023-01-01 00:00:04,128.500545,30.000434,9.9,38.2
2023-01-01 00:00:05,128.500687,30.000546,9.9,38.2
2023-01-01 00:00:06,128.500845,30.000653,10.5,38.2
2023-01-01 00:00:07,128.501008,30.0008,10.2,38.2
2023-01-01 00:00:08,128.501135,30.000877,9.9,38.2
2023-01-01 00:00:09,128.501227,30.001005,10.2,38.2
2023-01-01 00:00:10,128.501366,30.00114,9.9,38.2
2023-01-01 00:00:11,128.501517,30.001195,9.9,38.2
2023-01-01 00:00:12,128.501669,30.001317,10.1,38.2
2023-01-01 00:00:13,128.501807,30.00144,9.4,38.2
2023-01-01 00:00:14,128.501969,30.001535,9.5,38.2
2023-01-01 00:00:15,128.502109,30.001637,9.8,38.2
2023-01-01 00:00:16,128.502222,30.001799,9.7,38.2
2023-01-01 00:00:17,128.502357,30.001885,10.1,38.2
2023-01-01 00:00:18,128.50251,30.001929,9.7,38.2
2023-01-01 00:00:19,128.50266,30.002107,9.6,38.2
2023-01-01 00:00:20,128.502789,30.002222,10.4,38.2
2023-01-01 00:00:21,128.502908,30.002323,9.9,38.2
2023-01-01 00:00:22,128.503043,30.002424,10.0,38.2
2023-01-01 00:00:23,128.503172,30.002549,9.6,38.2
2023-01-01 00:00:24,128.503337,30.002645,9.8,38.2
2023-01-01 00:00:25,128.503485,30.002749,10.0,38.2
2023-01-01 00:00:26,128.503626,30.002849,9.7,38.2
2023-01-01 00:00:27,128.503773,30.002935,10.1,38.2
2023-01-01 00:00:28,128.503919,30.003038,9.8,38.2
2023-01-01 00:00:29,128.504,30.00319,9.9,38.2
2023-01-01 00:00:30,128.504175,30.0033,9.8,38.2
2023-01-01 00:00:31,128.504314,30.003393,10.6,38.2
2023-01-01 00:00:32,128.504443,30.003486,10.0,38.2
2023-01-01 00:00:33,128.504567,30.00359,9.7,38.2
2023-01-01 00:00:34,128.504751,30.003715,10.2,38.2
2023-01-01 00:00:35,128.504849,30.003846,9.6,38.2
2023-01-01 00:00:36,128.504956,30.003986,10.1,38.2
2023-01-01 00:00:37,128.505139,30.00405,9.4,38.2
2023-01-01 00:00:38,128.505273,30.004166,9.6,38.2
2023-01-01 00:00:39,128.505454,30.004292,10.1,38.2
2023-01-01 00:00:40,128.505566,30.004378,10.2,38.2
2023-01-01 00:00:41,128.505688,30.004496,10.1,38.2
2023-01-01 00:00:42,128.50583,30.004614,10.0,38.2
2023-01-01 00:00:43,128.505968,30.004729,9.9,38.2
2023-01-01 00:00:44,128.506156,30.004818,9.6,38.2
2023-01-01 00:00:45,128.506264,30.004917,9.8,38.2
2023-01-01 00:00:46,128.506361,30.00504,9.9,38.2
2023-01-01 00:00:47,128.506523,30.005111,10.3,38.2
2023-01-01 00:00:48,128.506666,30.00526,10.1,38.2
